"Deferred Expense","المصاريف الآجلة"
"Supplier Name","اسم المورّد"
"Supplier Naming By","تسمية المورّد حسب"
"Supplier Part No","رقم الصنف عند المورد"
"Supplier Part Number","رقم الصنف عند المورد"
"Supplier Portal Users","مستخدمو بوابة المورّدين"
"Supplier Primary Address","العنوان الأساسي للمورّد"
"Supplier Primary Contact","جهة الاتصال الأساسية للمورّد"
"Supplier Quotation Item","بند عرض سعر المورّد"
"Supplier Score","تقييم المورّد"
"Supplier Scorecard Setup","إعداد بطاقة أداء المورّد"
"Supplier Type","نوع المورّد"
"Supplier Warehouse","مستودع المورّد"
"Suppliers","المورّدون"
"Supply Raw Materials for Purchase","توريد المواد الخام للشراء"
"Support Portal","بوابة الدعم"
"SWIFT Number","رمز سويفت"
"Symbol","الرمز"
"Sync","مزامنة"
"Sync events from Google as public","مزامنة الأحداث من جوجل كأحداث عامة"
"Sync with Google Calendar","المزامنة مع تقويم جوجل"
"Sync with Google Contacts","المزامنة مع جهات اتصال جوجل"
"Synchronize all accounts every hour","مزامنة كافة الحسابات كل ساعة"
"System Notifications","إشعارات النظام"
"System Page","صفحة النظام"
"Table","جدول"
"Table Fieldname","اسم حقل الجدول"
"Table HTML","جدول HTML"
"Tag Line","شعار"
"Target","المستقبل"
"Target  Amount","المبلغ المستهدف"
"Target Asset","الأصل المستقبل"
"Target Asset Location","موقع الأصل المستقبل"
"Target Batch No","رقم الباتش المستقبل"
"Target Distribution","التوزيع المستهدف"
"Target Exchange Rate","سعر الصرف المستهدف"
"Target Fieldname (Stock Ledger Entry)","اسم الحقل المستقبل (قيد أستاذ المخزون)"
"Target Fixed Asset Account","حساب الأصل الثابت المستقبل"
"Target Has Batch No","المستقبل له رقم باتش"
"Target Has Serial No","المستقبل له رقم تسلسلي"
"Target Incoming Rate","معدل الوارد المستهدف"
"Target Is Fixed Asset","المستقبل هو أصل ثابت"
"Target Item Code","رمز الصنف المستقبل"
"Target Item Name","اسم الصنف المستقبل"
"Target Location","الموقع المستقبل"
"Target Qty","الكمية المستهدفة"
"Target Serial No","الرقم التسلسلي المستقبل"
"Target Warehouse","المستودع المستقبل"
"Target Warehouse Address","عنوان المستودع المستقبل"
"Target Warehouse Address Link","رابط عنوان المستودع المستقبل"
"Targets","الأهداف"
"Tariff Number","رقم بند التعريفة"
"Task Assignee Email","بريد المسند إليه المهمة"
"Task Description","وصف المهمة"
"Task Name","اسم المهمة"
"Tasks","المهام"
"Tax","الضريبة"
"Tax Account","حساب الضريبة"
"Tax Amount After Discount Amount","مبلغ الضريبة بعد الخصم"
"Tax Amount After Discount Amount (Company Currency)","مبلغ الضريبة بعد الخصم (بعملة الشركة)"
"Tax Breakup","تفصيل الضريبة"
"Tax Id","الرقم الضريبي"
"Tax Rate","معدل الضريبة"
"Tax Rates","معدلات الضريبة"
"Tax Settings","إعدادات الضريبة"
"Tax Type","نوع الضريبة"
"Tax Withheld Vouchers","سندات الضريبة المحتجزة"
"Tax Withholding Net Total","صافي إجمالي الضريبة المحتجزة"
"Tax Withholding Rate","معدل احتجاز الضريبة"
"Tax Withholding Rates","معدلات احتجاز الضريبة"
"Taxable Amount","المبلغ الخاضع للضريبة"
"Taxes","الضرائب"
"Taxes and Charges","الضرائب والرسوم"
"Taxes and Charges Added","الضرائب والرسوم المضافة"
"Taxes and Charges Added (Company Currency)","الضرائب والرسوم المضافة (بعملة الشركة)"
"Taxes and Charges Calculation","حساب الضرائب والرسوم"
"Taxes and Charges Deducted","الضرائب والرسوم المخصومة"
"Taxes and Charges Deducted (Company Currency)","الضرائب والرسوم المخصومة (بعملة الشركة)"
"Team","الفريق"
"Team Member","عضو الفريق"
"Team Members","أعضاء الفريق"
"Team Members Heading","عنوان أعضاء الفريق"
"Team Members Subtitle","عنوان فرعي لأعضاء الفريق"
"Telemetry","القياس عن بعد"
"Template","قالب"
"Template File","ملف القالب"
"Template Name","اسم القالب"
"Template Options","خيارات القالب"
"Template Task","مهمة القالب"
"Template Title","عنوان القالب"
"Template Warnings","تحذيرات القالب"
"temporary name","اسم مؤقت"
"Temporary Opening Account","حساب الافتتاح المؤقت"
"Term Details","تفاصيل الشرط"
"Terms","الشروط"
"Terms & Conditions","البنود والشروط"
"Terms and Conditions Content","محتوى البنود والشروط"
"Terms and Conditions Details","تفاصيل البنود والشروط"
"Terms and Conditions Help","مساعدة البنود والشروط"
"Terms Template","قالب الشروط"
"Territory Manager","مدير المنطقة"
"Territory Name","اسم المنطقة"
"Territory Targets","أهداف المنطقة"
"Test Job ID","رمز مهمة الاختبار"
"Text Align","محاذاة النص"
"Text Color","لون النص"
"Text Content","محتوى النص"
"Theme","السمة"
"Theme Configuration","تهيئة السمة"
"Theme URL","رابط السمة"
"Third Party Authentication","مصادقة طرف ثالث"
"Threshold for Suggestion","عتبة الاقتراح"
"Threshold for Suggestion (In Percentage)","عتبة الاقتراح (كنسبة مئوية)"
"Thumbnail","صورة مصغرة"
"Thumbnail URL","رابط الصورة المصغرة"
"Thursday","الخميس"
"Tier Name","اسم الفئة"
"Time","الوقت"
"Time (In Mins)","الوقت (بالدقائق)"
"Time Between Operations (Mins)","الوقت بين العمليات (بالدقائق)"
"Time Format","تنسيق الوقت"
"Time In Mins","الوقت بالدقائق"
"Time in Queries","الوقت في الاستعلامات"
"Time Interval","الفاصل الزمني"
"Time Logs","سجلات الوقت"
"Time Series","السلاسل الزمنية"
"Time Series Based On","السلاسل الزمنية بناءً على"
"Time Sheet","الجدول الزمني"
"Time Sheet List","قائمة الجداول الزمنية"
"Time Sheets","الجداول الزمنية"
"Time Taken","الوقت المستغرق"
"Time Window (Seconds)","النافذة الزمنية (بالثواني)"
"Time Zone","المنطقة الزمنية"
"Time Zones","المناطق الزمنية"
"Timeline","الخط الزمني"
"Timeline DocType","نوع مستند الخط الزمني"
"Timeline Field","حقل الخط الزمني"
"Timeline Links","روابط الخط الزمني"
"Timeline Name","اسم الخط الزمني"
"Timeout","مهلة"
"Timeout (In Seconds)","المهلة (بالثواني)"
"Timeseries","السلاسل الزمنية"
"Timesheet Detail","تفاصيل الجدول الزمني"
"Timesheets","الجداول الزمنية"
"Timeslots","الفترات الزمنية"
"Timespan","المدى الزمني"
"Timestamp","الطابع الزمني"
"Title","العنوان"
"Title Field","حقل العنوان"
"Title Prefix","بادئة العنوان"
"To","إلى"
"To and CC","إلى ونسخة إلى"
"To be Delivered to Customer","للتسليم إلى العميل"
"To Currency","إلى العملة"
"To Date","إلى تاريخ"
"To Date Field","إلى حقل التاريخ"
"To Delivery Date","إلى تاريخ التسليم"
"To Doctype","إلى نوع المستند"
"To Employee","إلى الموظف"
"To Folio No","إلى رقم الحافظة"
"To Invoice Date","إلى تاريخ الفاتورة"
"To No","إلى رقم"
"To Package No.","إلى رقم الحزمة"
"To Payment Date","إلى تاريخ السداد"
"To Range","إلى نطاق"
"To Reference Date","إلى التاريخ المرجعي"
"To Rename","لإعادة التسمية"
"To Shareholder","إلى المساهم"
"To Time","إلى وقت"
"To Value","إلى قيمة"
"To Warehouse (Optional)","إلى المستودع (اختياري)"
"Token Type","نوع الرمز"
"Token URI","رمز الرمز (URI)"
"Tools","الأدوات"
"Top Bar Items","عناصر الشريط العلوي"
"Top Errors","أهم الأخطاء"
"Topic","الموضوع"
"Total","الإجمالي"
"Total (Company Currency)","الإجمالي (بعملة الشركة)"
"Total Additional Costs","إجمالي التكاليف الإضافية"
"Total Advance","إجمالي الدفعات المقدمة"
"Total Allocated Amount","إجمالي المبلغ المخصص"
"Total Allocated Amount (Company Currency)","إجمالي المبلغ المخصص (بعملة الشركة)"
"Total Allocations","إجمالي التخصيصات"
"Total Amount","المبلغ الإجمالي"
"Total Amount Currency","عملة المبلغ الإجمالي"
"Total Amount in Words","المبلغ الإجمالي بالكلمات"
"Total Asset Cost","إجمالي تكلفة الأصل"
"Total Background Workers","إجمالي منفذي مهام الخلفية"
"Total Billable Amount","إجمالي المبلغ القابل للفوترة"
"Total Billable Amount (via Timesheet)","إجمالي المبلغ القابل للفوترة (عبر الجدول الزمني)"
"Total Billable Hours","إجمالي الساعات القابلة للفوترة"
"Total Billed Amount","إجمالي المبلغ المفوتر"
"Total Billed Amount (via Sales Invoice)","إجمالي المبلغ المفوتر (عبر فاتورة المبيعات)"
"Total Billed Hours","إجمالي الساعات المفوترة"
"Total Billing Amount","إجمالي مبلغ الفوترة"
"Total Billing Hours","إجمالي ساعات الفوترة"
"Total Characters","إجمالي الأحرف"
"Total Commission","إجمالي العمولة"
"Total Completed Qty","إجمالي الكمية المكتملة"
"Total Consumed Material Cost (via Stock Entry)","إجمالي تكلفة المواد المستهلكة (عبر حركة المخزون)"
"Total Cost","التكلفة الإجمالية"
"Total Cost (Company Currency)","التكلفة الإجمالية (بعملة الشركة)"
"Total Costing Amount","إجمالي مبلغ التكلفة"
"Total Costing Amount (via Timesheet)","إجمالي مبلغ التكلفة (عبر الجدول الزمني)"
"Total Credit","إجمالي الدائن"
"Total Debit","إجمالي المدين"
"Total Errors (last 1 day)","إجمالي الأخطاء (آخر يوم)"
"Total Estimated Distance","إجمالي المسافة المقدرة"
"Total Experience","إجمالي الخبرة"
"Total Gain/Loss","إجمالي الربح/الخسارة"
"Total Hold Time","إجمالي زمن التعليق"
"Total Holidays","إجمالي العطلات"
"Total Incoming Value (Receipt)","إجمالي قيمة الوارد (الاستلام)"
"Total Interest","إجمالي الفائدة"
"Total Message(s)","إجمالي الرسائل"
"Total Monthly Sales","إجمالي المبيعات الشهرية"
"Total Net Weight","إجمالي الوزن الصافي"
"Total Number of Booked Depreciations ","إجمالي عدد الإهلاكات المقيدة"
"Total Number of Depreciations","إجمالي عدد الإهلاكات"
"Total Operating Cost","إجمالي تكلفة التشغيل"
"Total Operation Time","إجمالي زمن التشغيل"
"Total Outgoing Emails","إجمالي رسائل البريد الصادرة"
"Total Outgoing Value (Consumption)","إجمالي قيمة الصادر (الاستهلاك)"
"Total Outstanding","إجمالي المستحق"
"Total Planned Qty","إجمالي الكمية المخططة"
"Total Produced Qty","إجمالي الكمية المنتجة"
"Total Projected Qty","إجمالي الكمية المتوقعة"
"Total Purchase Cost (via Purchase Invoice)","إجمالي تكلفة الشراء (عبر فاتورة المشتريات)"
"Total Qty","إجمالي الكمية"
"Total Quantity","إجمالي الكمية"
"Total Recipients","إجمالي المستلمين"
"Total Repair Cost","إجمالي تكلفة الإصلاح"
"Total Reposting Count","إجمالي عدد إعادة الترحيل"
"Total Sales Amount (via Sales Order)","إجمالي مبلغ المبيعات (عبر أمر البيع)"
"Total Subscribers","إجمالي المشتركين"
"Total Supplied Qty","إجمالي الكمية المورَّدة"
"Total Taxes and Charges","إجمالي الضرائب والرسوم"
"Total Taxes and Charges (Company Currency)","إجمالي الضرائب والرسوم (بعملة الشركة)"
"Total Time in Mins","إجمالي الوقت بالدقائق"
"Total Users","إجمالي المستخدمين"
"Total Value","القيمة الإجمالية"
"Total Value Difference (Incoming - Outgoing)","إجمالي فرق القيمة (الوارد - الصادر)"
"Total Views","إجمالي المشاهدات"
"Total Weight","الوزن الإجمالي"
"Total Weight (kg)","الوزن الإجمالي (كجم)"
"Total Working Hours","إجمالي ساعات العمل"
"Total Working Time","إجمالي وقت العمل"
"Totals","الإجماليات"
"Trace ID","رمز التتبع"
"Traceback","تتبع الأثر"
"Track Changes","تتبع التغييرات"
"Track Email Status","تتبع حالة البريد"
"Track Field","تتبع الحقل"
"Track Seen","تتبع الرؤية"
"Track Service Level Agreement","تتبع اتفاقية مستوى الخدمة"
"Track Steps","تتبع الخطوات"
"Track Views","تتبع المشاهدات"
"Tracking Status","حالة التتبع"
"Tracking Status Info","معلومات حالة التتبع"
"Tracking URL","رابط التتبع"
"Transaction","حركة"
"Transaction Currency","عملة الحركة"
"Transaction Date","تاريخ الحركة"
"Transaction Details","تفاصيل الحركة"
"Transaction Exchange Rate","سعر صرف الحركة"
"Transaction Hash","تجزئة الحركة"
"Transaction ID","رمز الحركة"
"Transaction Settings","إعدادات الحركات"
"Transaction Type","نوع الحركة"
"Transactions Annual History","السجل السنوي للحركات"
"Transfer Material Against","نقل مواد مقابل"
"Transfer Status","حالة النقل"
"Transfer Type","نوع النقل"
"Transferred Qty","الكمية المنقولة"
"Transit","بضاعة بالطريق"
"Transition Rules","قواعد الانتقال"
"Transitions","الانتقالات"
"Translatable","قابل للترجمة"
"Translate Link Fields","ترجمة حقول الربط"
"Translated Text","النص المترجم"
"Transport Receipt Date","تاريخ إيصال النقل"
"Transport Receipt No","رقم إيصال النقل"
"Transporter","الناقل"
"Transporter Details","تفاصيل الناقل"
"Transporter Info","معلومات الناقل"
"Transporter Name","اسم الناقل"
"Tree Details","تفاصيل الشجرة"
"Trial Period End Date","تاريخ انتهاء الفترة التجريبية"
"Trial Period Start Date","تاريخ بدء الفترة التجريبية"
"Trigger Method","طريقة التشغيل"
"Try a Naming Series","تجربة تسلسل تسمية"
"Tuesday","الثلاثاء"
"Two Factor Authentication","المصادقة الثنائية"
"Two Factor Authentication method","طريقة المصادقة الثنائية"
"Two-way","ثنائي الاتجاه"
"Type","النوع"
"Type Of Call","نوع المكالمة"
"Type of Payment","نوع السند"
"Type of Transaction","نوع الحركة"
"UAE VAT Accounts","حسابات ضريبة القيمة المضافة الإماراتية"
"UI Tour","جولة واجهة المستخدم"
"UID","رمز فريد"
"UIDNEXT","الرمز الفريد التالي"
"UIDVALIDITY","صلاحية الرمز الفريد"
"Unallocated Amount","المبلغ غير المخصص"
"Unassign Condition","شرط إلغاء الإسناد"
"Unhandled Emails","رسائل البريد غير المعالجة"
"Unique","فريد"
"Units of Measure","وحدات القياس"
"Unlink Advance Payment on Cancellation of Order","إلغاء ربط الدفعة المقدمة عند إلغاء الأمر"
"Unlink Payment on Cancellation of Invoice","إلغاء ربط السداد عند إلغاء الفاتورة"
"Unlinked","غير مربوط"
"Unread Notification Sent","أُرسل إشعار غير مقروء"
"Unrealized Exchange Gain/Loss Account","حساب أرباح/خسائر الصرف غير المحققة"
"Unrealized Profit / Loss Account","حساب الأرباح / الخسائر غير المحققة"
"Unreconciled Amount","المبلغ غير المسوى"
"Unreconciled Entries","القيود غير المسواة"
"Unsubscribe Method","طريقة إلغاء الاشتراك"
"Unsubscribe Param","معامل إلغاء الاشتراك"
"Unsubscribed","تم إلغاء الاشتراك"
"UOM Name","اسم وحدة القياس"
"UOMs","وحدات القياس"
"Upcoming Calendar Events","أحداث التقويم القادمة"
"Update","تحديث"
"Update Amendment Naming","تحديث تسمية التعديل"
"Update Auto Repeat Reference","تحديث مرجع التكرار التلقائي"
"Update Billed Amount in Delivery Note","تحديث المبلغ المفوتر في إذن التسليم"
"Update Billed Amount in Purchase Order","تحديث المبلغ المفوتر في أمر الشراء"
"Update Billed Amount in Purchase Receipt","تحديث المبلغ المفوتر في سند إستلام المشتريات "
"Update Billed Amount in Sales Order","تحديث المبلغ المفوتر في أمر البيع"
"Update BOM Cost Automatically","تحديث تكلفة قائمة المواد تلقائيًا"
"Update Consumed Material Cost In Project","تحديث تكلفة المواد المستهلكة في المشروع"
"Update Cost","تحديث التكلفة"
"Update Existing Price List Rate","تحديث سعر قائمة الأسعار الحالية"
"Update Field","تحديث الحقل"
"Update frequency of Project","تكرار تحديث المشروع"
"Update latest price in all BOMs","تحديث آخر سعر في كافة قوائم المواد"
"Update Outstanding for Self","تحديث المستحق للذات"
"Update Price List Based On","تحديث قائمة الأسعار بناءً على"
"Update Series Counter","تحديث عداد التسلسل"
"Update Series Number","تحديث رقم التسلسل"
"Update Stock","تحديث المخزون"
"Update timestamp on new communication","تحديث الطابع الزمني عند التواصل الجديد"
"Update Type","نوع التحديث"
"Update Value","تحديث القيمة"
"Updates","التحديثات"
"Upload XML Invoices","رفع فواتير XML"
"Uploaded To Dropbox","تم الرفع إلى Dropbox"
"Uploaded To Google Drive","تم الرفع إلى جوجل درايف"
"URL","الرابط"
"Use ASCII encoding for password","استخدام ترميز ASCII لكلمة المرور"
"Use Batch-wise Valuation","استخدام التقييم على مستوى الباتش"
"Use Company default Cost Center for Round off","استخدام مركز تكلفة الشركة الافتراضي للتقريب"
"Use Company Default Round Off Cost Center","استخدام مركز تكلفة التقريب الافتراضي للشركة"
"Use different Email ID","استخدام بريد مختلف"
"Use First Day of Period","استخدام أول يوم في الفترة"
"Use for Shopping Cart","الاستخدام لسلة التسوق"
"Use HTML","استخدام HTML"
"Use HTTP Protocol","استخدام بروتوكول HTTP"
"Use IMAP","استخدام IMAP"
"Use Item based reposting","استخدام إعادة الترحيل بناءً على الصنف"
"Use Multi-Level BOM","استخدام قائمة مواد متعددة المستويات"
"Use Number Format from Currency","استخدام تنسيق الأرقام من العملة"
"Use POST","استخدام POST"
"Use Report Chart","استخدام مخطط التقرير"
"Use Sales Invoice","استخدام فاتورة المبيعات"
"Use Serial / Batch Fields","استخدام حقول الرقم التسلسلي / الباتش"
"Use Serial No / Batch Fields","استخدام حقول الرقم التسلسلي / الباتش"
"Use SSL","استخدام SSL"
"Use STARTTLS","استخدام STARTTLS"
"Use TLS","استخدام TLS"
"Use Transaction Date Exchange Rate","استخدام سعر صرف تاريخ الحركة"
"Used","مستخدم"
"Used OAuth","تم استخدام OAuth"
"User Agent","وكيل المستخدم"
"User Cannot Create","المستخدم لا يمكنه الإنشاء"
"User Cannot Search","المستخدم لا يمكنه البحث"
"User Defaults","الإعدادات الافتراضية للمستخدم"
"User Details","تفاصيل المستخدم"
"User Emails","رسائل بريد المستخدم"
"User Field","حقل المستخدم"
"User Group Members","أعضاء مجموعة المستخدمين"
"User ID","رمز المستخدم"
"User Id Field","حقل رمز المستخدم"
"User ID Property","خاصية رمز المستخدم"
"User Image","صورة المستخدم"
"User must always select","يجب على المستخدم التحديد دائمًا"
"User Name","اسم المستخدم"
"User Remark","ملاحظة المستخدم"
"User Resolution Time","زمن الحل للمستخدم"
"User Role","دور المستخدم"
"User Tags","وسوم المستخدم"
"User Type Module","وحدة نوع المستخدم"
"Userinfo URI","رمز معلومات المستخدم (URI)"
"Username","اسم المستخدم"
"Users","المستخدمون"
"Utilization","الاستخدام"
"Utilization %","نسبة الاستخدام %"
"Valid for Countries","صالح للدول"
"Valid From","صالح من"
"Valid Till","صالح حتى"
"Valid Upto","صالح حتى"
"Validate Applied Rule","التحقق من القاعدة المطبقة"
"Validate Components and Quantities Per BOM","التحقق من المكونات والكميات لكل قائمة مواد"
"Validate Field","التحقق من الحقل"
"Validate Negative Stock","التحقق من المخزون السالب"
"Validate Pricing Rule","التحقق من قاعدة التسعير"
"Validate Selling Price for Item Against Purchase Rate or Valuation Rate","التحقق من سعر البيع للصنف مقابل سعر الشراء أو التقييم"
"Validate Stock on Save","التحقق من المخزون عند الحفظ"
"Validity","الصلاحية"
"Validity and Usage","الصلاحية والاستخدام"
"Validity Details","تفاصيل الصلاحية"
"Validity in Days","الصلاحية (بالأيام)"
"Valuation Method","طريقة التقييم"
"Valuation Rate","معدل التقييم"
"Value","القيمة"
"Value After Depreciation","القيمة بعد الإهلاك"
"Value Based Inspection","فحص قائم على القيمة"
"Value Based On","القيمة بناءً على"
"Value Changed","تغيرت القيمة"
"Value Details","تفاصيل القيمة"
"Value of Goods","قيمة البضاعة"
"Value To Be Set","القيمة المطلوب تعيينها"
"Value to Validate","القيمة المطلوب التحقق منها"
"Variable Name","اسم المتغير"
"Variables","المتغيرات"
"Variant Attributes","سمات المتغير"
"Variant Based On","المتغير بناءً على"
"Variant Of","متغير من"
"Variants","المتغيرات"
"VAT Accounts","حسابات ضريبة القيمة المضافة"
"Vehicle Date","تاريخ المركبة"
"Vehicle No","رقم المركبة"
"Vehicle Number","رقم المركبة"
"Vehicle Value","قيمة المركبة"
"Verified By","تم التحقق بواسطة"
"version_table","جدول_الإصدارات"
"Via Customer Portal","عبر بوابة العملاء"
"Via Landed Cost Voucher","عبر سند تكلفة البضاعة المستوردة"
"Video URL","رابط الفيديو"
"View","عرض"
"View attachments","عرض المرفقات"
"View Properties (via Customize Form)","عرض الخصائص (عبر تخصيص النموذج)"
"View Settings","إعدادات العرض"
"View Switcher","مبدل العرض"
"Viewed By","شوهد بواسطة"
"Views","العروض"
"Virtual","افتراضي"
"Visibility","الرؤية"
"Visited","تمت زيارته"
"Visitor ID","رمز الزائر"
"Voucher Detail No","رقم تفصيل السند"
"Voucher Name","اسم السند"
"Voucher No","رقم السند"
"Voucher Qty","كمية السند"
"Voucher Subtype","النوع الفرعي للسند"
"Voucher Type","نوع السند"
"Vouchers","السندات"
"Wages","الأجور"
"Warehouse and Reference","المستودع والمرجع"
"Warehouse Contact Info","معلومات اتصال المستودع"
"Warehouse Detail","تفاصيل المستودع"
"Warehouse Details","تفاصيل المستودع"
"Warehouse Name","اسم المستودع"
"Warehouse Settings","إعدادات المستودع"
"Warehouses","المستودعات"
"Warn for new Purchase Orders","التحذير عند أوامر الشراء الجديدة"
"Warn for new Request for Quotations","التحذير عند طلبات عروض الأسعار الجديدة"
"Warn POs","التحذير عند أوامر الشراء"
"Warn Purchase Orders","التحذير عند أوامر الشراء"
"Warn RFQs","التحذير عند طلبات عروض الأسعار"
"Warranty / AMC Details","تفاصيل الضمان / عقد الصيانة السنوي"
"Warranty / AMC Status","حالة الضمان / عقد الصيانة السنوي"
"Warranty Expiry Date","تاريخ انتهاء الضمان"
"Warranty Period (Days)","فترة الضمان (بالأيام)"
"Warranty Period (in days)","فترة الضمان (بالأيام)"
"Web Form Fields","حقول نموذج الويب"
"Web Template Values","قيم قالب الويب"
"Web View","عرض الويب"
"Webhook Data","بيانات خطاف الويب"
"Webhook Headers","ترويسات خطاف الويب"
"Webhook Request","طلب خطاف الويب"
"Webhook Secret","المفتاح السري لخطاف الويب"
"Webhook Security","أمان خطاف الويب"
"Webhook Trigger","مشغل خطاف الويب"
"Webhook URL","رابط خطاف الويب"
"Website","الموقع الإلكتروني"
"Website Description","وصف الموقع"
"Website Image","صورة الموقع"
"Website Search Field","حقل بحث الموقع"
"Website Specifications","مواصفات الموقع"
"Website Theme Image","صورة سمة الموقع"
"Website Theme image link","رابط صورة سمة الموقع"
"Wednesday","الأربعاء"
"Weekday","يوم الأسبوع"
"Weekly Off","العطلة الأسبوعية"
"Weekly Time to send","الوقت الأسبوعي للإرسال"
"Weight","الوزن"
"Weight (kg)","الوزن (كجم)"
"Weight Per Unit","الوزن لكل وحدة"
"Weight UOM","وحدة قياس الوزن"
"Weighting Function","دالة الترجيح"
"Welcome email sent","أُرسل بريد الترحيب"
"Welcome Email Template","قالب بريد الترحيب"
"Welcome URL","رابط الترحيب"
"WhatsApp","واتساب"
"Wheels","العجلات"
"Width","العرض"
"Width (cm)","العرض (سم)"
"Width of amount in word","عرض المبلغ بالكلمات"
"Wildcard Filter","فلتر البدل"
"WIP Composite Asset","أصل مركب تحت التشغيل"
"WIP Warehouse","مستودع تحت التشغيل"
"With Operations","مع العمليات"
"Withdrawal","سحب"
"Work Done","العمل المنجز"
"Work in Progress","تحت التشغيل"
"Work Order Qty","كمية أمر العمل"
"Work-in-Progress Warehouse","مستودع تحت التشغيل"
"Workday","يوم عمل"
"Worker Information","معلومات العامل"
"Worker Name","اسم العامل"
"Workflow Action Name","اسم إجراء سير العمل"
"Workflow Builder ID","رمز منشئ سير العمل"
"Workflow Data","بيانات سير العمل"
"Workflow Name","اسم سير العمل"
"Workflow State Field","حقل حالة سير العمل"
"Working Hours","ساعات العمل"
"Workstation / Machine","محطة عمل / آلة"
"Workstation Dashboard","لوحة معلومات محطة العمل"
"Workstation Name","اسم محطة العمل"
"Workstation Status","حالة محطة العمل"
"Workstations","محطات العمل"
"Write","كتابة"
"Write Off","شطب"
"Write Off Account","حساب الشطب"
"Write Off Amount","مبلغ الشطب"
"Write Off Amount (Company Currency)","مبلغ الشطب (بعملة الشركة)"
"Write Off Based On","الشطب بناءً على"
"Write Off Cost Center","مركز تكلفة الشطب"
"Write Off Difference Amount","شطب مبلغ الفرق"
"Write Off Limit","حد الشطب"
"Write Off Outstanding Amount","شطب المبلغ المستحق"
"Writeoff","الشطب"
"X Field","حقل X"
"Y Axis","المحور Y"
"Y Field","حقل Y"
"Year","السنة"
"Year End Date","تاريخ نهاية السنة"
"Year Name","اسم السنة"
"Year of Passing","سنة التخرج"
"Year Start Date","تاريخ بدء السنة"
"Youtube ID","رمز يوتيوب"
"Youtube Statistics","إحصائيات يوتيوب"
"Zero Balance","رصيد صفري"
"Zip File","ملف مضغوط"
"Formula","المعادلة"
"Formula Doctype","Formula Doctype"
"Penalties","الغرامات"
"Penalty Amount","قيمة الغرامة"
"Penalty Formula","معادلة الغرامة"
"Penalty Name","إسم الغرامة"
"Penalty Type","نوع الغرامة"
"Revenue Account","حساب الإيراد"
"Supplier Agreement","إتفاقية المورد"
"Sets 'Target Warehouse' in each row of the items table.","يحدد المستودع المستقبل في كل سطر من جدول الأصناف"
"Sets 'Source Warehouse' in each row of the items table.","يحدد المستودع المرسل في كل سطر من جدول الأصناف"
"If yes, then this warehouse will be used to store rejected materials","إذا كانت الإجابة نعم، فسيُستخدم هذا المستودع لتخزين المواد المرفوضة"
"If subcontracted to a vendor","إذا تم التعاقد من الباطن مع مورد"
"Arabic Item Name","إسم الصنف بالعربي"
""Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges","يتم إسترجاع جدول تفاصيل الضريبة من بطاقة الصنف كـنص وتخزينه في هذا الحقل حتى يُستخدم في الضرائب والرسوم"
"Valuation rate for the item as per Sales Invoice (Only for Internal Transfers)","معدل تكلفة الصنف حسب فاتورة البيع (لعمليات التحويل الداخلي فقط) "
"Debit Note will update it's own outstanding amount, even if 'Return Against' is specified."," إشعار الخصم سيقوم بتحديث رصيده المستحق، حتى إذا تم تحديد "إرجاع مقابل""
"Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid","عدد الأيام بعد تاريخ الفاتورة قبل إلغاء الاشتراك أو اعتباره غير مدفوع"
"New invoices will be generated as per schedule even if current invoices are unpaid or past due date","سيتم إنشاء فواتير جديدة حسب الجدول الزمني حتى إذا كانت الفواتير الحالية غير مدفوعة أو تجاوزت تاريخ الاستحقاق"
"If this is checked subsequent new invoices will be created on calendar month and quarter start dates irrespective of current invoice start date","إذا تم تحديد هذا الخيار، فسيتم إنشاء الفواتير الجديدة لاحقًا في بداية الأشهر أو أرباع السنة التقويمية بغض النظر عن تاريخ بدء الفاتورة الحالية"
"Number of days that the subscriber has to pay invoices generated by this subscription","عدد الأيام التي يُمنحها المشترك لسداد الفواتير الناتجة عن هذه الاشتراك"
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","عدد الفواصل الزمنية لحقل الفترة الزمنية، على سبيل المثال: إذا كانت الفترة "أيام" وعدد الفواصل هو 3، فستُنشأ الفواتير كل 3 أيام"
"The account head under Liability or Equity, in which Profit/Loss will be booked","الحساب الذي تُقيد فيه الأرباح أو الخسائر ضمن الخصوم أو حقوق الملكية"
"Create missing customer or supplier.","إنشاء العملاء و الموردين الغير معرفين"
"Include symbols, numbers and capital letters in the password"," يجب أن تتضمن كلمة السر حروفا كبيرة ، رموز و أرقام"
"Bank Reconciliation Statement","كشف التسوية البنكية"
"Auto Reconcile","تسوية ألية"
"Upload Bank Statement","تحميل كشف البنك"
"Filters applied for","الفلتر مطبق على"
"No Matching Bank Transactions Found","لم يتم العثور على حركات بنكية مطابقة"
"Get Payment Entries","إسترجاع سندات القبض/الصرف"
"Select the Bank Account to reconcile.","اختر الحساب البنكي المطلوب تسويته"
"Change this date manually to setup the next synchronization start date","غيّر هذا التاريخ يدويًا لتحديد تاريخ بدء المزامنة التالي"
